method,seed,grid_size,rm_variant,rm_input_mode,rm_hidden,rm_layers,outer_iter,true_eval_return,learned_eval_return,true_ndh,true_ndh_norm,reward_model_drift,reward_model_pref_accuracy,clip_epsilon,clip_eps_base,critic_error,approx_policy_kl,preference_dataset_size,rm_updated
fixed_rm,0,10,full_rm,onehot,96,2,13,0.4913333333333332,0.08102801740169525,-0.20066666666666688,-0.2192279679533869,0.0,0.7833333333333333,0.2,0.2,nan,7.935533003307195e-05,128,0
fixed_rm,0,10,full_rm,onehot,96,2,14,0.41333333333333316,0.25802398125330606,-0.2786666666666669,-0.3044428259286236,0.0,0.7833333333333333,0.2,0.2,nan,0.00034458947370957164,128,0
fixed_rm,0,10,full_rm,onehot,96,2,15,0.4953333333333332,1.5314854164918263,-0.19666666666666688,-0.2148579752367081,0.0,0.7833333333333333,0.2,0.2,nan,0.00030328984852061774,128,0
fixed_rm,0,10,full_rm,onehot,96,2,16,0.4326666666666666,1.2441123346487681,-0.25933333333333347,-0.28332119446467596,0.0,0.7833333333333333,0.2,0.2,nan,0.0007808823892094067,128,0
fixed_rm,0,10,full_rm,onehot,96,2,17,0.32266666666666655,1.683694851398468,-0.3693333333333335,-0.4034959941733431,0.0,0.7833333333333333,0.2,0.2,nan,0.00016018046004120625,128,0
fixed_rm,0,10,full_rm,onehot,96,2,18,0.26333333333333314,2.29541456302007,-0.4286666666666669,-0.4683175528040788,0.0,0.7833333333333333,0.2,0.2,nan,0.0009677215644944621,128,0
fixed_rm,0,10,full_rm,onehot,96,2,19,-0.0626666666666669,1.7670057495435079,-0.7546666666666669,-0.8244719592134013,0.0,0.7833333333333333,0.2,0.2,nan,0.0007035196317956294,128,0
fixed_rm,0,10,full_rm,onehot,96,2,20,0.00133333333333312,3.611546688278516,-0.690666666666667,-0.7545520757465405,0.0,0.7833333333333333,0.2,0.2,nan,0.002562987075559159,128,0
fixed_rm,0,10,full_rm,onehot,96,2,21,0.16733333333333314,7.1783939043680824,-0.524666666666667,-0.5731973780043701,0.0,0.7833333333333333,0.2,0.2,nan,0.0020327162489291264,128,0
fixed_rm,0,10,full_rm,onehot,96,2,22,-0.19000000000000028,5.633174347877502,-0.8820000000000003,-0.9635833940276767,0.0,0.7833333333333333,0.2,0.2,nan,0.0016598988173909721,128,0
fixed_rm,0,10,full_rm,onehot,96,2,23,-0.16133333333333358,5.159645434220632,-0.8533333333333336,-0.9322651128914785,0.0,0.7833333333333333,0.2,0.2,nan,0.006843902189050405,128,0
fixed_rm,0,10,full_rm,onehot,96,2,24,-0.25733333333333364,6.677046826481819,-0.9493333333333337,-1.0371449380917699,0.0,0.7833333333333333,0.2,0.2,nan,0.003603830693072947,128,0
fixed_rm,1,10,full_rm,onehot,96,2,0,-0.5840000000000002,-2.6402745246887207,0.0,0.0,0.0,0.8333333333333334,0.2,0.2,nan,9.206053833097422e-05,128,0
fixed_rm,1,10,full_rm,onehot,96,2,1,0.1946666666666665,-2.829271411895752,0.0,0.0,0.0,0.8333333333333334,0.2,0.2,nan,0.0006088777873982839,128,0
fixed_rm,1,10,full_rm,onehot,96,2,2,0.15933333333333313,-3.2165686388810477,-0.035333333333333355,-0.04537671232876715,0.0,0.8333333333333334,0.2,0.2,nan,0.001212068149824509,128,0
fixed_rm,1,10,full_rm,onehot,96,2,3,0.05466666666666644,-2.8483343491951625,-0.14000000000000004,-0.17979452054794526,0.0,0.8333333333333334,0.2,0.2,nan,0.0004416073374816982,128,0
fixed_rm,1,10,full_rm,onehot,96,2,4,0.5359999999999999,-3.1129748225212097,0.0,0.0,0.0,0.8333333333333334,0.2,0.2,nan,0.0006441801186586358,128,0
